name,shelter_type,area_m2,estimated_capacity,lat,lon,centroid,nearby_population_density,nearby_population_estimate,estimated_coverage_ratio,Distance_to_Roads,Distance_to_Faults,Population_Density,LandUse_Score,Distance_to_Roads_norm,Distance_to_Faults_norm,Population_Density_norm,LandUse_Score_norm,Distance_to_Roads_w,Distance_to_Faults_w,Population_Density_w,LandUse_Score_w,score,rank
Park_001,public_park,109078.23817935666,31165,38.80127342596451,38.73584571966601,POINT (38.73584571966601 38.80127342596451),0.0,0.0,<NA>,5.558886942100477,53549.24009940486,9500,0.1,0.03410058897726351,0.9999999999999791,0.9999999999998794,0.0,0.01902471859041531,0.2632999999999945,0.1218999999999853,0.0,0.4042247185903951,7
Park_002,public_park,22967.382680530543,6562,38.660541881437766,39.16166647706576,POINT (39.16166647706576 38.660541881437766),0.0,0.0,<NA>,4.714176856960185,24814.155027683908,9500,0.2,0.028918776193815516,0.3993706252989655,0.9999999999998794,0.9999999900000001,0.016133785238529676,0.1051542856412176,0.1218999999999853,0.056899999431,0.3000880703107326,38
Park_003,public_park,19993.421787934756,5712,38.679728182865034,39.20207009328602,POINT (39.20207009328602 38.679728182865034),0.0,0.0,<NA>,98.68762935782371,25384.809202477707,9500,0.2,0.6053921083345613,0.4112986101760395,0.9999999999998794,0.9999999900000001,0.3377482572398517,0.10829492405935119,0.1218999999999853,0.056899999431,0.6248431807301882,3
Park_004,public_park,281910.8430518559,80545,38.671074023037164,39.20367360529358,POINT (39.20367360529358 38.671074023037164),0.0,0.0,<NA>,1.7215865597180022,24327.683417852124,9500,0.2,0.010560947951127367,0.3892022496670934,0.9999999999998794,0.9999999900000001,0.005891952861933958,0.10247695233734568,0.1218999999999853,0.056899999431,0.28716890463026495,110
Park_005,public_park,17074.496201470756,4878,38.67347463973964,39.16400413528419,POINT (39.16400413528419 38.67347463973964),0.0,0.0,<NA>,2.824887227572055,26028.11577659956,9500,0.2,0.017329065918753293,0.4247451973147745,0.9999999999998794,0.9999999900000001,0.009667885876072462,0.11183541045298012,0.1218999999999853,0.056899999431,0.3003032957600379,36
Park_006,public_park,2811.2664787584577,803,38.67029830899912,39.23547781813329,POINT (39.23547781813329 38.67029830899912),0.0,0.0,<NA>,2.0324134901503075,23326.637730211394,9500,0.2,0.012467693223721711,0.36827809218107593,0.9999999999998794,0.9999999900000001,0.006955726049514342,0.09696762167127729,0.1218999999999853,0.056899999431,0.28272334715177694,118
Park_007,public_park,7039.248527852205,2011,38.68264334643408,39.25159474215923,POINT (39.25159474215923 38.68264334643408),0.0,0.0,<NA>,3.5008812369671207,24018.94724663746,1200,0.2,0.02147590216593252,0.3827489535309792,0.0,0.9999999900000001,0.011981405818373751,0.10077779946470682,0.0,0.056899999431,0.16965920471408055,146
Park_008,public_park,8604.732213729261,2458,38.65797186310425,39.16564821818316,POINT (39.16564821818316 38.65797186310425),0.0,0.0,<NA>,2.664181898543498,24447.154977529495,9500,0.2,0.016343230727511215,0.39169948007391037,0.9999999999998794,0.9999999900000001,0.009117888422878506,0.10313447310346059,0.1218999999999853,0.056899999431,0.2910523609573244,94
Park_009,public_park,8451.184334834485,2414,38.68362026062413,39.27031646670675,POINT (39.27031646670675 38.68362026062413),0.0,0.0,<NA>,3.9278753703389597,23479.692122511868,9500,0.2,0.024095266723887353,0.3714772810372505,0.9999999999998794,0.9999999900000001,0.013442749305256753,0.09780996809710804,0.1218999999999853,0.056899999431,0.2900527168333501,102
Park_010,public_park,5142.2028915255605,1469,38.68179453905591,39.25788360155575,POINT (39.25788360155575 38.68179453905591),0.0,0.0,<NA>,2.9563203873097015,23720.73255376099,1200,0.2,0.01813533310944794,0.37651558049373274,0.0,0.9999999900000001,0.010117702341761004,0.09913655234399982,0.0,0.056899999431,0.16615425411676082,151
