lat,lon,landuse,area_m2,population_density,population_estimate
38.94364249789485,40.02023824317245,residential,32988.27722434995,10000,329.8827722434995
38.79516911394283,38.73818852188102,residential,982927.3383140776,10000,9829.273383140775
38.827304588323926,38.7357605333978,residential,35399.49000543246,10000,353.9949000543246
38.69378351277285,40.0232933996706,residential,57149.873341409795,10000,571.498733414098
38.69172992639189,39.92643703058033,residential,1958758.693959646,10000,19587.58693959646
38.64298770650158,39.9584183710652,residential,93580.33925823562,10000,935.8033925823562
38.663273016668285,40.009128265670164,residential,279916.73635914864,10000,2799.1673635914863
38.448126620083755,39.307792479062485,residential,1048744.6883049866,10000,10487.446883049866
39.09292481927657,39.91546703833197,residential,48019.868238606345,10000,480.19868238606347
39.05941332678165,39.98766161659245,residential,17402.488461241373,10000,174.02488461241373
39.06988073706789,40.03009954298223,residential,14926.022092964047,10000,149.26022092964047
38.955182590184634,40.0379233208934,residential,3625517.787399881,10000,36255.17787399881
39.02559259633154,39.9776863624527,residential,43181.48822133566,10000,431.8148822133566
39.04648084482666,39.97625322712704,residential,24556.31189460151,10000,245.5631189460151
38.96982338218456,40.01130270706931,residential,21161.855076040396,10000,211.61855076040396
38.95078197180103,40.00597883518826,residential,249322.80175335403,10000,2493.2280175335404
38.99944783077193,39.985363069182824,residential,235169.7040261676,10000,2351.6970402616757
38.97192103270191,40.026701258118955,residential,336060.3466375602,10000,3360.603466375602
39.07471651252006,40.020377222589836,residential,76350.95297721495,10000,763.5095297721496
39.07200813383022,40.01937745010405,residential,99100.09076854764,10000,991.0009076854765
39.057867098528185,39.87138322721141,residential,19712.983750477608,10000,197.12983750477608
39.03492412475811,39.91639860828117,residential,40667.105367138014,10000,406.67105367138015
38.977212072729785,39.974079327320204,residential,102044.6924326755,10000,1020.4469243267549
38.85706750243242,39.908661552973776,residential,115350.3662731091,10000,1153.503662731091
38.997326497107345,40.00657866371785,residential,42540.9319657443,10000,425.409319657443
39.02702347661291,39.90673072974241,residential,8003.802742809277,10000,80.03802742809278
38.96423233792207,39.99239633974741,residential,230289.30594198572,10000,2302.893059419857
38.993340414234325,39.95979308067014,residential,89747.13037660367,10000,897.4713037660367
39.08807674835972,39.994802725307856,residential,88602.32726121345,10000,886.0232726121344
39.082619427197095,39.973318867461444,residential,204794.432655606,10000,2047.94432655606
38.99188562774042,39.91557704254509,residential,22318.398837253368,10000,223.1839883725337
39.0350689797912,39.945224002890434,residential,63435.58623392832,10000,634.3558623392832
38.97662145873258,39.98499967592601,residential,65001.37462310719,10000,650.013746231072
39.06045701594387,39.943098632628754,residential,148539.73022868045,10000,1485.3973022868045
38.89310683816214,39.93803865764515,residential,179091.9527066521,10000,1790.9195270665211
38.965725648723115,40.009856523323364,residential,92867.55423605537,10000,928.6755423605537
39.09338659110239,39.93955087972025,residential,23473.419143965453,10000,234.73419143965452
38.98974662756629,39.968303031181954,residential,11440.701646921045,10000,114.40701646921045
39.07358592066948,39.999107215831714,residential,19415.77867415475,10000,194.15778674154748
39.02575845063634,39.90750214688455,residential,8484.27336642698,10000,84.8427336642698
39.00140466483821,39.930296113668675,residential,28396.599285700006,10000,283.96599285700006
39.01887015219477,39.93008464284761,residential,23175.91026672828,10000,231.7591026672828
38.76682554498944,39.96933636304707,residential,199165.47601826992,10000,1991.6547601826992
38.87018302677046,40.01221329525574,residential,333732.48612217396,10000,3337.32486122174
38.82423398175027,39.97120105605353,residential,47863.029796134586,10000,478.63029796134583
38.8726721713583,40.00739646944838,residential,51436.139650559504,10000,514.361396505595
38.85960773676429,39.95366838575268,residential,134134.3042569605,10000,1341.343042569605
38.88321826771765,39.963074842301744,residential,112696.04114040447,10000,1126.9604114040446
38.831180098352505,39.97056104087669,residential,121102.499366112,10000,1211.0249936611199
38.80483319311298,39.999360408820124,residential,131428.20989785035,10000,1314.2820989785034
38.89656066878693,39.98468451450895,residential,216248.1241136798,10000,2162.481241136798
38.740438342367014,39.91161241845116,residential,166486.85033962104,10000,1664.8685033962104
38.87061264379264,39.99350869494408,residential,180505.54875517427,10000,1805.0554875517428
38.84039845643799,39.98511501284695,residential,521392.12631738896,10000,5213.921263173889
38.82838723178655,39.969655206466605,residential,8938.810415544913,10000,89.38810415544913
38.898046849921464,39.9950679415905,residential,123734.03947371372,10000,1237.3403947371373
38.76715116174051,39.974012669379164,residential,5623.406243716466,10000,56.23406243716466
38.821498682640396,39.99908509535848,residential,160642.0791188639,10000,1606.4207911886392
38.86325194939559,39.90025551106008,residential,74969.38298433124,10000,749.6938298433124
38.828948190339936,39.932290216997075,residential,391407.2600910485,10000,3914.0726009104847
38.70472671181776,39.25135550276545,residential,375468.47804645315,10000,3754.6847804645313
38.7109865393737,39.2645997540015,residential,7254.685785279395,10000,72.54685785279395
38.77448870521582,39.207304818855306,residential,178476.73741634138,10000,1784.7673741634137
38.581116992541276,39.33850414954304,residential,277732.79281009565,10000,2777.3279281009563
38.58984675829491,39.32370187247715,residential,43917.34111378397,10000,439.1734111378397
38.579237905906766,39.35118478966086,residential,318914.4109496812,10000,3189.144109496812
38.579237905906766,39.35118478966086,residential,318914.4109496812,10000,3189.144109496812
38.586959562750835,39.32656407322586,residential,144523.43972662234,10000,1445.2343972662234
38.34688150017773,39.2691055193848,residential,60111.53639024835,10000,601.1153639024834
38.31197920857979,39.204122907440386,residential,47121.50107666153,10000,471.2150107666153
38.35384306079241,39.270658696423155,residential,6386.255432382641,10000,63.86255432382641
38.35584164924529,39.2685303116456,residential,40415.07217894087,10000,404.1507217894087
