landuse_type,area_m2,lat,lon,hazard_score,shelter_candidate
natural:water,953970398.2780641,38.83654068005659,39.10789027627397,3,True
natural:water,953970398.2780641,38.83654068005659,39.10789027627397,3,True
natural:water,953970398.2780641,38.83654068005659,39.10789027627397,3,True
natural:water,953970398.2780641,38.83654068005659,39.10789027627397,3,True
natural:water,953970398.2780641,38.83654068005659,39.10789027627397,3,True
natural:water,953970398.2780641,38.83654068005659,39.10789027627397,3,True
natural:water,128183920.29697296,38.487772752614646,39.40440636796223,3,True
natural:water,128183920.29697296,38.487772752614646,39.40440636796223,3,True
natural:water,410792166.6384927,38.497458352834045,38.55273944888206,3,True
natural:water,410792166.6384927,38.497458352834045,38.55273944888206,3,True
natural:water,410792166.6384927,38.497458352834045,38.55273944888206,3,True
natural:water,62167036.304981865,38.369227539642594,39.93411303958073,3,True
natural:water,62167036.304981865,38.369227539642594,39.93411303958073,3,True
natural:water,36979832.62490117,39.185756322897184,40.210918877943456,3,True
natural:water,1584070.1120001625,38.73572095337713,40.05983236383937,3,True
natural:water,524337.8626867826,39.09514606031054,40.00632117877584,3,True
natural:water,3121565.941918721,39.043027500168776,39.87751967723577,3,True
natural:water,578909.6706592679,39.003848146680234,39.89539176257641,3,True
natural:water,182763.8723678105,38.97707495249354,39.884856047086004,3,True
landuse:residential,32988.27722434995,38.94364249789485,40.02023824317245,2,True
landuse:forest,883664.7694264064,38.68917626908765,39.18093506296136,3,True
amenity:place_of_worship,1617.8822240884465,38.6806384774268,39.171251584219455,3,True
landuse:forest,8968974.647717493,39.06278591580558,39.891818409121434,3,True
landuse:forest,4274813.797617159,39.07282147328919,39.91396575102724,3,True
landuse:forest,2792712.4437757237,39.08632091004874,39.9221398000286,3,True
landuse:forest,8229845.978195097,39.07625248314803,39.95504535579543,3,True
landuse:forest,20732873.90522543,39.111952554167054,39.97047201067081,3,True
natural:water,10749542.898139982,39.09623670042046,39.922064830124796,3,True
natural:scrub,9121748.327974908,38.442986354649825,38.94344850792813,3,True
natural:water,25329562.958249312,38.731977875371754,40.30532799271829,3,True
natural:water,16798540.94921295,38.89629127960389,39.848798171084795,3,True
natural:water,16798540.94921295,38.89629127960389,39.848798171084795,3,True
natural:water,16798540.94921295,38.89629127960389,39.848798171084795,3,True
natural:scrub,19756889.128988653,38.44979299306256,40.21244987961581,3,True
natural:scrub,58268543.04087244,38.43632884455697,40.26604041476899,3,True
natural:scrub,23598194.171340805,38.46254604992953,40.116273464911195,3,True
natural:scrub,31936248.241537593,38.435143884008944,40.08556616745492,3,True
natural:scrub,6670280.807453343,38.77656822595473,39.631886605303706,3,True
natural:scrub,3010022.0348988897,38.79295425652981,39.62315443982058,3,True
natural:wood,47917.520629921135,38.491714121581325,39.78650673474142,3,True
natural:water,807928.6417236713,38.77915539065471,38.63583411496433,3,True
