landuse,area_m2,population_density,population_estimate,density_level,lat,lon
residential,32988.27722434995,9500,313.3886336313245,yüksek,38.94364249789485,40.02023824317245
residential,982927.3383140776,9500,9337.809713983737,yüksek,38.79516911394283,38.73818852188102
residential,35399.49000543246,9500,336.2951550516084,yüksek,38.827304588323926,38.7357605333978
residential,57149.873341409795,9500,542.923796743393,yüksek,38.69378351277285,40.0232933996706
residential,1958758.693959646,9500,18608.20759261664,yüksek,38.69172992639189,39.92643703058033
residential,93580.33925823562,9500,889.0132229532384,yüksek,38.64298770650158,39.9584183710652
residential,279916.73635914864,9500,2659.208995411912,yüksek,38.663273016668285,40.009128265670164
residential,1048744.6883049866,9500,9963.074538897374,yüksek,38.448126620083755,39.307792479062485
residential,48019.868238606345,9500,456.1887482667603,yüksek,39.09292481927657,39.91546703833197
residential,17402.488461241373,9500,165.32364038179304,yüksek,39.05941332678165,39.98766161659245
residential,14926.022092964047,9500,141.79720988315844,yüksek,39.06988073706789,40.03009954298223
residential,3625517.787399881,9500,34442.41898029887,yüksek,38.955182590184634,40.0379233208934
residential,43181.48822133566,9500,410.2241381026888,yüksek,39.02559259633154,39.9776863624527
residential,24556.31189460151,9500,233.28496299871432,yüksek,39.04648084482666,39.97625322712704
residential,21161.855076040396,9500,201.03762322238376,yüksek,38.96982338218456,40.01130270706931
residential,249322.80175335403,9500,2368.566616656863,yüksek,38.95078197180103,40.00597883518826
residential,235169.7040261676,9500,2234.1121882485922,yüksek,38.99944783077193,39.985363069182824
residential,336060.3466375602,9500,3192.573293056822,yüksek,38.97192103270191,40.026701258118955
residential,76350.95297721495,9500,725.3340532835421,yüksek,39.07471651252006,40.020377222589836
residential,99100.09076854764,9500,941.4508623012025,yüksek,39.07200813383022,40.01937745010405
residential,19712.983750477608,9500,187.2733456295373,yüksek,39.057867098528185,39.87138322721141
residential,40667.105367138014,9500,386.33750098781115,yüksek,39.03492412475811,39.91639860828117
residential,102044.6924326755,9500,969.4245781104172,yüksek,38.977212072729785,39.974079327320204
residential,115350.3662731091,9500,1095.8284795945365,yüksek,38.85706750243242,39.908661552973776
residential,42540.9319657443,9500,404.1388536745708,yüksek,38.997326497107345,40.00657866371785
residential,8003.802742809277,9500,76.03612605668813,yüksek,39.02702347661291,39.90673072974241
residential,230289.30594198572,9500,2187.7484064488644,yüksek,38.96423233792207,39.99239633974741
residential,89747.13037660367,9500,852.597738577735,yüksek,38.993340414234325,39.95979308067014
residential,88602.32726121345,9500,841.7221089815276,yüksek,39.08807674835972,39.994802725307856
residential,204794.432655606,9500,1945.5471102282572,yüksek,39.082619427197095,39.973318867461444
residential,22318.398837253368,9500,212.02478895390698,yüksek,38.99188562774042,39.91557704254509
residential,63435.58623392832,9500,602.638069222319,yüksek,39.0350689797912,39.945224002890434
residential,65001.37462310719,9500,617.5130589195184,yüksek,38.97662145873258,39.98499967592601
residential,148539.73022868045,9500,1411.1274371724644,yüksek,39.06045701594387,39.943098632628754
residential,179091.9527066521,9500,1701.373550713195,yüksek,38.89310683816214,39.93803865764515
residential,92867.55423605537,9500,882.241765242526,yüksek,38.965725648723115,40.009856523323364
residential,23473.419143965453,9500,222.9974818676718,yüksek,39.09338659110239,39.93955087972025
residential,11440.701646921045,9500,108.68666564574993,yüksek,38.98974662756629,39.968303031181954
residential,19415.77867415475,9500,184.4498974044701,yüksek,39.07358592066948,39.999107215831714
residential,8484.27336642698,9500,80.6005969810563,yüksek,39.02575845063634,39.90750214688455
residential,28396.599285700006,9500,269.7676932141501,yüksek,39.00140466483821,39.930296113668675
residential,23175.91026672828,9500,220.17114753391866,yüksek,39.01887015219477,39.93008464284761
residential,199165.47601826992,9500,1892.0720221735642,yüksek,38.76682554498944,39.96933636304707
residential,333732.48612217396,9500,3170.458618160653,yüksek,38.87018302677046,40.01221329525574
residential,47863.029796134586,9500,454.69878306327854,yüksek,38.82423398175027,39.97120105605353
residential,51436.139650559504,9500,488.64332668031534,yüksek,38.8726721713583,40.00739646944838
residential,134134.3042569605,9500,1274.2758904411246,yüksek,38.85960773676429,39.95366838575268
residential,112696.04114040447,9500,1070.6123908338425,yüksek,38.88321826771765,39.963074842301744
residential,121102.499366112,9500,1150.473743978064,yüksek,38.831180098352505,39.97056104087669
residential,131428.20989785035,9500,1248.5679940295781,yüksek,38.80483319311298,39.999360408820124
residential,216248.1241136798,9500,2054.3571790799583,yüksek,38.89656066878693,39.98468451450895
residential,166486.85033962104,9500,1581.6250782263999,yüksek,38.740438342367014,39.91161241845116
residential,180505.54875517427,9500,1714.8027131741555,yüksek,38.87061264379264,39.99350869494408
residential,521392.12631738896,9500,4953.225200015195,yüksek,38.84039845643799,39.98511501284695
residential,8938.810415544913,9500,84.91869894767667,yüksek,38.82838723178655,39.969655206466605
residential,123734.03947371372,9500,1175.4733750002804,yüksek,38.898046849921464,39.9950679415905
residential,5623.406243716466,9500,53.42235931530642,yüksek,38.76715116174051,39.974012669379164
residential,160642.0791188639,9500,1526.099751629207,yüksek,38.821498682640396,39.99908509535848
residential,74969.38298433124,9500,712.2091383511469,yüksek,38.86325194939559,39.90025551106008
residential,391407.2600910485,9500,3718.368970864961,yüksek,38.828948190339936,39.932290216997075
residential,375468.47804645315,9500,3566.950541441305,yüksek,38.70472671181776,39.25135550276545
residential,7254.685785279395,9500,68.91951496015425,yüksek,38.7109865393737,39.2645997540015
