name,highway,length_m,importance
,tertiary,3980.2327840059625,5
,tertiary,2581.597696613002,5
,residential,844.810809232141,6
,residential,121.90044944642595,6
Yayladere - Karakoçan yolu,secondary,2274.030186392211,4
Yayladere - Karakoçan yolu,secondary,4065.135631917251,4
,tertiary,1798.5295175678975,5
,tertiary,980.5602315945945,5
,tertiary,442.9592104407212,5
,tertiary,1096.3766366663938,5
,tertiary,2834.796811222995,5
,tertiary,2716.4617705527767,5
Yayladere - Karakoçan yolu,secondary,3658.164768044373,4
,tertiary,234.239026283293,5
,tertiary,4203.755165302975,5
,residential,599.6875211725542,6
,tertiary,1045.0843714748064,5
Yayladere - Karakoçan yolu,secondary,4427.422112007777,4
,tertiary,845.6182786595583,5
Yayladere - Karakoçan yolu,secondary,35.504976447698425,4
,tertiary,440.6886253634213,5
,tertiary,5880.016640940388,5
,tertiary,3822.04159520147,5
,tertiary,2003.6413235515145,5
,tertiary,1485.3510157780413,5
,residential,423.4396862536167,6
,tertiary,1336.0041908983374,5
,tertiary,5610.629076468405,5
,residential,1177.8761977895724,6
,tertiary,71.75352619818405,5
,tertiary,3447.538100397287,5
,residential,665.0617556992264,6
,tertiary,3570.6559427434822,5
,tertiary,4127.249315247407,5
,tertiary,340.33177328444407,5
,tertiary,6705.36424774527,5
,tertiary,3381.1955090233428,5
,tertiary,31.91166011363022,5
,tertiary,2872.0062438249956,5
,tertiary,60.62709721292559,5
,tertiary,136.44308100581054,5
,residential,156.66329751933523,6
,tertiary,17.577495670582508,5
,residential,1115.3722165943423,6
,tertiary,754.0884001794882,5
,residential,231.29450759119044,6
Elazığ-Bingöl yolu,trunk,19034.822073070427,2
,tertiary,35.05682159101005,5
Elazığ-Bingöl yolu,trunk,182.98144110020138,2
,residential,117.68981166266404,6
Elazığ-Bingöl yolu,trunk,8801.22405941093,2
,tertiary,2133.6978882778803,5
Elazığ-Bingöl yolu,trunk,200.33613038268788,2
,residential,210.37153298308957,6
,tertiary,16410.902945474125,5
,residential,413.8727395074618,6
,residential,486.8759778468043,6
,residential,254.86822364526586,6
,residential,568.9882935997598,6
,residential,131.90730932886333,6
,tertiary,28.90649471462303,5
,tertiary,1083.5819620192854,5
,residential,155.91269568056768,6
,tertiary,636.3428841338105,5
,tertiary,1760.1285871890698,5
,tertiary,613.0351909313973,5
,tertiary,86.1663716646605,5
,residential,616.256846464679,6
Elazığ-Bingöl yolu,trunk,18954.06333526901,2
,residential,222.09851564839707,6
,residential,370.97449820261477,6
,tertiary,4262.730675822685,5
,tertiary,212.3313972803843,5
,residential,47.07990392784524,6
,secondary,58.87045197365164,4
,tertiary,90.69964720048145,5
,secondary,68.79372112482012,4
,tertiary,71.73248886151771,5
,tertiary,1786.254016948257,5
Yunus Emre Bulvarı,primary,4288.74007821553,3
,residential,942.8530389524544,6
,residential,639.7686598699901,6
,tertiary,9481.331628347874,5
,secondary,55.277286774596995,4
Yunus Emre Bulvarı,primary,3205.263815326633,3
,secondary,51.61288848964968,4
,tertiary,69.15084315633891,5
,residential,58.103026438596466,6
,secondary,46.97978561634646,4
,secondary,68.52315222312558,4
,residential,456.5779536005903,6
Ahmet Kabaklı Bulvarı,secondary,5269.23532472847,4
,residential,46.673601938154235,6
,residential,278.028500847027,6
,tertiary,133.8079789951319,5
,residential,361.25449669242187,6
,residential,97.27193088058795,6
,residential,178.8574484162951,6
,residential,212.60899663785955,6
,residential,205.46229103014755,6
,residential,208.81202252205787,6
,residential,273.14831075213215,6
,residential,290.3387631827441,6
Pertek - Elazığ yolu,secondary,5072.694439106847,4
Pertek - Elazığ yolu,secondary,10973.60478953619,4
,secondary,134.0407200718441,4
,residential,925.6833741889217,6
Elazığ-Bingöl yolu,trunk,2229.8030001808106,2
Elazığ-Bingöl yolu,trunk,2229.8030001808106,2
,tertiary,4260.423293472486,5
Elazığ-Bingöl yolu,trunk,5345.851211218142,2
,tertiary,35.299744325720305,5
,tertiary,1988.5993380337402,5
,tertiary,4232.123454185414,5
,tertiary,4232.123454185414,5
,tertiary,4232.123454185414,5
,tertiary,1061.747850829959,5
,secondary,655.2432600575482,4
,residential,647.7043762675406,6
,tertiary,5464.041586595917,5
,tertiary,7652.638495772392,5
,tertiary,16.40235642560737,5
,tertiary,3105.575984383838,5
,tertiary,1784.7609389876054,5
,tertiary,2256.869637788353,5
,tertiary,2315.4142502237205,5
,tertiary,3413.004429850734,5
,tertiary,3362.483322075418,5
,tertiary,2536.5752348873507,5
,residential,160.3649673561881,6
,tertiary,2235.0386358188484,5
Elazığ-Bingöl yolu,trunk,232.01213804959386,2
Elazığ-Diyarbakır yolu,trunk,51.891136753441714,2
Elazığ-Diyarbakır yolu,trunk,43.84089218386504,2
Elazığ-Diyarbakır yolu,trunk,427.56488857399086,2
Elazığ-Diyarbakır yolu,trunk,5304.779828634478,2
Elazığ-Diyarbakır yolu,trunk,10306.497616604964,2
Elazığ-Diyarbakır yolu,trunk,930.8081657482169,2
,tertiary,384.01346164015416,5
,residential,384.151790466216,6
,residential,1271.9861290110605,6
,residential,68.40416056036632,6
,tertiary,2539.23691496942,5
,residential,183.444224233961,6
,tertiary,3634.244971096624,5
,residential,231.0829961283905,6
,residential,531.4868850939874,6
,residential,391.26410651764115,6
,tertiary,1853.6337847045293,5
